#,problem,true_f,found_f,x_found,error,boxes,time_s,status,ref_suspect
1,min (x-2)^2,0.0,2.1925136412679941e-13,2.0000,2.1925136412679941e-13,21,0.3,PASS,False
2,min x1^2+x2^2,0.0,0.0,"(0.000, 0.000)",0.0,151,1.7,PASS,False
3,min (x1-1)^2+2(x2-2)^2,0.0,2.1961418597770306e-13,"(1.000, 2.000)",2.1961418597770306e-13,41,0.6,PASS,False
4,min x^4+x^2-4x,-2.1566,-2.1566523769775565,0.8351,5.2376977556445325e-05,27,0.3,PASS,False
5,min x^2  s.t. x>=2,4.0,3.9999997261621636,2.0000,2.738378364064431e-07,15,1.2,PASS,False
6,min x1^2+x2^2  s.t. x1+x2>=1,0.5,0.4999990025544393,"(0.500, 0.500)",9.97445560702026e-07,107,6.3,PASS,False
7,"min x1^2+x2^2  s.t. x1>=1, x2>=1",2.0,1.9999980518872116,"(1.000, 1.000)",1.9481127884191096e-06,31,9.5,PASS,False
8,min x1^2+x2^2+x3^2  s.t. x1+x2+x3>=1,0.3333333333333333,0.3333327033601161,"(0.333, 0.333, 0.333)",6.299732172032613e-07,49,2.4,PASS,False
9,min x^4-2x^2,-1.0,-1.0,1.0000,0.0,63,0.4,PASS,False
10,min x^4-3x^2+2x,-4.8481,-4.848076211353296,-1.3660,2.3788646704048233e-05,19,0.2,PASS,False
11,min (x^2-1)^2,0.0,0.0,1.0000,0.0,87,0.5,PASS,False
12,min (x^2-2)^2,0.0,8.46491431641578e-15,1.4142,8.46491431641578e-15,51,0.3,PASS,False
13,min (x1^2-1)^2+(x2^2-1)^2,0.0,0.0,"(1.000, 1.000)",0.0,479,3.4,PASS,False
14,min x1^4+x2^4-4x1^2-4x2^2,-8.0,-7.9999999999999805,"(1.414, 1.414)",1.9539925233402755e-14,151,63.1,PASS,False
15,min x^4-2x^2  s.t. x>=0.5,-1.0,-1.0,1.0000,0.0,31,0.3,PASS,False
16,min x1^2+x2^2  s.t. (x1-2)^2+(x2-2)^2<=1,3.3431457505076194,3.3431450835318177,"(1.293, 1.293)",6.669758016997207e-07,37,12.9,PASS,False
17,min (x^2-1)^3,-1.0,-1.0,0.0000,0.0,25,2.0,PASS,False
18,min sin(x^2),-1.0,-0.9999999999999845,2.1708,1.554312234475219e-14,29,0.2,PASS,False
19,min x^4-2x^2  s.t. x<=-0.5,-1.0,-1.0,-1.0000,0.0,31,0.3,PASS,False
20,min x1^2+x2^4-2x2^2,-1.0,-0.9999999999997804,"(0.000, 1.000)",2.1960211427085596e-13,125,1.3,PASS,False
21,Rastrigin 2D,0.0,0.0,"(0.000, 0.000)",0.0,15,25.0,PASS,False
22,Rosenbrock 2D,0.0,0.001249546412540815,"(1.000, 0.997)",0.001249546412540815,3,17.0,PASS,False
23,Ackley 2D,0.0,1.2649110558982102e-07,"(0.000, 0.000)",1.2649110558982102e-07,3,23.4,PASS,False
24,5D  sum(xi^2-1)^2  (32 global minima),0.0,0.0,"(1.000, 1.000, 1.000, 1.000, 1.000)",0.0,5000,55.0,PASS,False
25,Thin feasible disk  (x1-1)^2+x2^2<=0.01,0.81,0.809999558215511,"(0.900, 0.000)",4.4178448910248136e-07,17,16.6,PASS,False
26,Disconnected feasible  (x^2>=4),9.0,8.999999029032411,2.0000,9.709675889979508e-07,31,0.5,PASS,False
27,Multimodal  (x1+x2>=2.5),0.6328,0.632811536700492,"(1.250, 1.250)",1.1536700491920904e-05,41,21.5,PASS,False
28,Deceptive  x^2 + 10*sin(x)^2,0.0,0.0,0.0000,0.0,43,12.5,PASS,False
29,min (x1^2+x2^2-1)^2-0.2x1  s.t. x1*x2>=0.5,-0.167,-0.16653788203695952,"(0.880, 0.568)",0.0004621179630404926,3,10.0,PASS,False
30,10D separable  (sum xi^4-16xi^2+5xi),-783.3233140754282,-783.3233140754282,"(-2.904, -2.904, -2.904, -2.904, -2.904, -2.904, -2.904, -2.904, -2.904, -2.904)",0.0,201,560.8,PASS,False
